Array Design Name	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Comment[AdditionalFile:CDF]	HG-U133B.cdf
Version	1.0
Provider	Affymetrix, Inc. (support@affymetrix.com)
Comment[ArrayExpressAccession]	A-AFFY-34
Comment[SubmittedName]	Affymetrix GeneChip Human Genome HG-U133B [HG-U133B]
Technology Type	in_situ_oligo_features
Technology Type Term Accession Number	http://mged.sourceforge.net/ontologies/MGEDOntology.daml#in_situ_oligo_features
Technology Type Term Source REF	mo:1.1.3
Surface Type	glass
Term Source Name	mo:1.1.3	affymetrix_netaffx	blocks	cp450	ec	embl	ensembl	entrez_protein	gpcrdb	interpro	kegg	locus	omim	pfam	pkr_hanks	refseq	scop	swall	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.affymetrix.com/analysis/	http://www.blocks.fhcrc.org/	http://drnelson.utmem.edu/CytochromeP450.html	http://www.chem.qmw.ac.uk/iubmb/enzyme/	http://www.ebi.ac.uk/embl/	http://www.ensembl.org	http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?db=Protein	http://www.gpcr.org/	http://www.ebi.ac.uk/interpro	http://www.genome.ad.jp/kegg/	http://www.ncbi.nlm.nih.gov/LocusLink/	http://www3.ncbi.nlm.nih.gov/omim	http://www.sanger.ac.uk/Software/Pfam/	http://pkr.sdsc.edu/html/pk_classification/pk_catalytic/pk_hanks_class.html	http://www.ncbi.nlm.nih.gov/LocusLink/refseq.html	http://scop.berkeley.edu	http://www.ebi.ac.uk/swissprot/access.html	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version	1.1.3																	
Comment[AdditionalFile:txt]	A-AFFY-34_comments.txt

[main]
Composite Element Name	Composite Element Database Entry[embl]	Composite Element Database Entry[affymetrix_netaffx]	Composite Element Database Entry[ensembl]	Composite Element Database Entry[blocks]	Composite Element Database Entry[entrez_protein]	Composite Element Database Entry[scop]	Composite Element Database Entry[refseq]	Composite Element Database Entry[pfam]	Composite Element Database Entry[omim]	Composite Element Database Entry[unigene]	Composite Element Database Entry[locus]	Composite Element Database Entry[interpro]	Composite Element Database Entry[swall]	Composite Element Database Entry[kegg]	Composite Element Database Entry[ec]	Composite Element Database Entry[pkr_hanks]	Composite Element Database Entry[cp450]	Composite Element Database Entry[gpcrdb]
235223_at	AW515799	235223_at								Hs.63002								
235224_s_at	AL037626	235224_s_at								Hs.128521								
235225_at	AA447729	235225_at								Hs.12714								
235226_at	AA994004	235226_at								Hs.128790								
235227_at	AI025829	235227_at								Hs.86320								
235228_at	AI376433	1452332_at	ENSG00000055813							Hs.283902	114800		Q96PX6					
235229_at	AI694413	235229_at								Hs.332649			Q9WV09					
235230_at	AW170015	235230_at								Hs.6594								
235231_at	AI355709	167585_at	ENSG00000160908	IPB001293	19263643		NM_032164	zf-C2H2		Hs.284168	84124	IPR003309	Q8TB27					
235232_at	AI061377	235232_at								Hs.320445								
235233_s_at	AI061377	235233_s_at								Hs.320445								
235234_at	AA359612	235234_at			20886333		NM_152716			Hs.374897	219988		Q8NI63					
235235_s_at	AA359612	1433697_at			22749427		NM_152716			Hs.374897	219988		Q8NI63					
235236_at	AI991459	235236_at								Hs.241175								
235237_at	AI740565	235237_at								Hs.58633								
235238_at	BF676462	235238_at								Hs.219907			AAH33907					
235239_at	BE781961	1435469_at								Hs.309165	169714		Q8N3G2					
235240_at	N51479	164151_at	ENSG00000066427	IPB002360	2262195		NM_030660	UIM	607047	Hs.66521	4287	IPR006155	P54252					
235241_at	BF696757	235241_at								Hs.379980			Q8NBW4					
235242_at	BE739287	235242_at								Hs.58066								
235243_at	R24970	Msa.6160.0_s_at	ENSG00000105270	IPB000938	18496983		NM_015526	ank	607382	Hs.7357	25999	IPR002110	Q96C99					
235244_at	BF001285	235244_at								Hs.220594			Q8WUX7					
235245_at	AI990471	235245_at			23397498		NM_153229			Hs.224630	162461		Q8NBF0					
235246_at	AL515437	235246_at								Hs.143718								
235247_at	AI224578	235247_at								Hs.33106								
235248_at	BF681515	235248_at	ENSG00000112145		23308691	d1k3ia2	NM_152733			Hs.100256	114781	IPR000210	Q96M00					
235249_at	AA736589	235249_at								Hs.124159								
235250_at	AA992036	235250_at			22907034		NM_144997		607273	Hs.172702	201163		Q96BE4					
235251_at	AW292765	235251_at								Hs.42419								
235252_at	AI090141	235252_at								Hs.169061								
235253_at	AI742925	235253_at								Hs.369799								
235254_at	BF057363	235254_at								Hs.293056								
235255_at	BG106215	aa492901_s_at	ENSG00000111351	IPB002490	6912718		NM_012463	V_ATPase_sub_a		Hs.12627	23545	IPR002490	Q8TBM3		3.6.1.34			
235256_s_at	BE788984	235256_s_at	ENSG00000143891	IPB001823	20270355		NM_138801	Aldose_epim		Hs.264610	130589	IPR001823	Q9BVD9		5.1.3.3			
235257_at	BF436372	235257_at								Hs.432445								
235258_at	AI873425	235258_at								Hs.30627								
235259_at	AA398590	235259_at								Hs.422773			Q8N7B6					
235260_s_at	AA398590	235260_s_at								Hs.422773			Q9D3X5					
235261_at	AI800785	235261_at								Hs.379636								
235262_at	AW130096	235262_at			24559751		NM_152279	zf-C2H2		Hs.293028	92285	IPR000822	Q96JW6					
235263_at	BF530545	235263_at	ENSG00000174353		6912686		NM_018991			Hs.370705	54441	IPR005032	Q9P147					
235264_at	AW956392	235264_at								Hs.110376								
235265_at	BF446017	235265_at								Hs.143389								
235266_at	AI139629	235266_at	ENSG00000156802	IPB001580	24497618	d1eqfa1	NM_032365	bromodomain		Hs.222088	29028	IPR003960	Q9UHS5		3.4.21.53			
235267_at	AV732165	235267_at								Hs.67317								
235268_at	AA830590	235268_at	ENSG00000108264	IPB000433	19743889		NM_133439	myb_DNA-binding	602276	Hs.125156	6871	IPR001005	Q9BVJ0					
235269_at	BE786265	w14752_s_at	ENSG00000133477		22658314		NM_138435			Hs.197680	113828	IPR001230	Q8NEG4					
235270_at	BG027325	235270_at	ENSG00000118267	IPB003309	14150143		NM_032347	SCAN		Hs.269914	84307	IPR003309	Q9UD51					
235271_s_at	BG027325	235271_s_at	ENSG00000118267	IPB003309	14150143		NM_032347	SCAN		Hs.269914	84307	IPR003309	Q9UD51					
235272_at	AI814274	235272_at								Hs.433484								
235273_at	AI674107	235273_at	ENSG00000166445		21754406	d1elwa_	NM_130810	TPR		Hs.126403	161582	IPR001440	Q8WXU2					
235274_at	AA740632	235274_at								Hs.120850			Q9UI48					
235275_at	AA610122	235275_at								Hs.112819								
235276_at	AA781795	235276_at		IPB001101	23271129		NM_033255			Hs.343800	94240		Q8NDQ7					
235277_at	BG334930	235277_at			22027646		NM_130847			Hs.17110	154810		Q9UPT1					
235278_at	BF032500	235278_at								Hs.136585								
235279_at	AW138886	235279_at								Hs.356718								
235280_at	BG490453	1447597_at	ENSG00000068654	IPB000135		d1i6vd_	NM_015425	RNA_pol_A2		Hs.59475	25885	IPR000722	O95602		3.5.1.16			
235281_x_at	AA523289	235281_x_at								Hs.381147	54730		Q13727					
235282_at	BF447113	235282_at								Hs.267027								
235283_at	AA262171	235283_at								Hs.354408								
235284_s_at	AW205774	235284_s_at								Hs.294029								
235285_at	AI824976	235285_at								Hs.18891								
235286_at	BG533580	235286_at								Hs.133493								
235287_at	AW192700	235287_at								Hs.388761								
235288_at	AI627532	235288_at								Hs.18861								
235289_at	AV747725	235289_at								Hs.164144								
235290_at	N35244	235290_at								Hs.187573								
235291_s_at	BE875232	235291_s_at								Hs.268180								
235292_at	BE875232	235292_at								Hs.268180								
235293_at	BF031448	235293_at								Hs.174310								
235294_at	AV685172	235294_at								Hs.222442								
235295_at	BG401950	235295_at								Hs.32163								
235296_at	BG500474	235296_at		IPB001884	585302	d1bkb_1	NM_020390	eIF-5a	605782	Hs.104660	56648	IPR005824	AAH36072					
235297_at	BG286365	235297_at								Hs.321390								
235298_at	AW194823	235298_at								Hs.356406								
235299_at	AI769269	235299_at								Hs.279870								
235300_x_at	AW236209	235300_x_at			24308061		NM_015436	zf-C3HC4		Hs.48297	25898	IPR001878	Q9UHS6					
235301_at	AI797353	235301_at			22749467		NM_152748			Hs.31570	222223	IPR001881	Q96DP2					
235302_at	BF968187	235302_at								Hs.26346								
235303_at	AV728846	235303_at			21450651		NM_144964	DUF425		Hs.293615	158234	IPR002048	Q8NAG2					
235304_at	AI400209	235304_at								Hs.432730			Q9UI50					
235305_s_at	AI903313	235305_s_at	ENSG00000121310	IPB001753	8922787	d1ey3a_	NM_018281	ECH		Hs.34579	55268	IPR001753	Q9NV38					
235306_at	AI611648	235306_at								Hs.95834	155038		Q8ND71					
235307_at	N95580	235307_at								Hs.131862								
235308_at	AW499525	235308_at								Hs.364762								
235309_at	AA126311	235309_at								Hs.130645								
235310_at	W94993	235310_at			22749537		NM_152785			Hs.49614	257144		Q8N6F7					
235311_at	BG110260	235311_at								Hs.390838								
235312_s_at	AA195854	235312_s_at		IPB001781	22267939		NM_006175	Nebulin	602873	Hs.373522	4892	IPR001781	Q96MG4					
235313_at	AA195854	235313_at		IPB001781	22267939		NM_006175	Nebulin	602873	Hs.373522	4892	IPR001781	Q96MQ3					
235314_at	W73195	235314_at								Hs.398050								
235315_at	AI809519	235315_at								Hs.27133								
235316_at	BG258131	235316_at								Hs.318529			Q8N9F0					
235317_at	AW975045	235317_at								Hs.289770								
235318_at	AW955612	235318_at								Hs.23850								
235319_at	AW028799	235319_at								Hs.131862								
235320_at	AL138043	Msa.23721.0_s_at	ENSG00000113966	IPB000765	9789883	d1e0sa_	NM_032146	arf		Hs.293549	84100	IPR003575	Q9H0F7					
235321_at	BG257618	235321_at								Hs.240833								
235322_at	BF038869	235322_at								Hs.378757								
235323_at	AA418143	235323_at								Hs.405882								
235324_at	AI445255	235324_at								Hs.115315								
235325_at	AW248711	Msa.19595.0_s_at	ENSG00000141018	IPB001984	4507173	d1e32a2	NM_003119	AAA	602783	Hs.296847	6687	IPR005936	Q9UI71		3.4.21.53			
235326_at	H96922	235326_at	ENSG00000149532	PR00211	24432016		NM_024811	rrm		Hs.169100	79869		Q9H9V1					
235327_x_at	BG111015	235327_x_at								Hs.262716			AAH37901					
235328_at	AA521145	235328_at								Hs.429285								
235329_at	AW083983	1447660_at			22532413	d1gd5a_	NM_144603	SH3		Hs.191762	124056	IPR001683	Q96B73					
235330_at	AW070234	235330_at								Hs.8172			Q99LL1					
235331_x_at	AI341142	235331_x_at								Hs.11356								
235332_at	AW501360	235332_at								Hs.258910								
235333_at	BG503479	235333_at								Hs.201769								
235334_at	AW963951	rc_AI231519_at			23308724		NM_152996	Glyco_transf_29		Hs.85618	256435		Q8N259		2.4.99.4			
235335_at	AI446543	235335_at	ENSG00000154258	IPB000897	23451407		NM_172386	ABC_tran		Hs.301496	10350	IPR003439	Q8WWZ5					
235336_at	BG436225	235336_at								Hs.33355								
235337_at	AI276403	235337_at								Hs.105636								
235338_s_at	W65369	235338_s_at	ENSG00000136169	IPB003888	16877671		NM_031915	SET		Hs.58297	83852	IPR002110	Q96T68					
235339_at	W65369	235339_at	ENSG00000136169	IPB003888	16877671		NM_031915	SET		Hs.58297	83852	IPR002110	Q96T68					
235340_at	BE220887	235340_at	ENSG00000159364							Hs.293267		IPR000322	Q8TET4					
235341_at	AL119957	235341_at								Hs.399774								
235342_at	AI808090	235342_at	ENSG00000154430	IPB003403	8393567	d1icfi_	NM_016950	thyroglobulin_1		Hs.159425	50859	IPR000716	Q9BQ16					
235343_at	AI961235	235343_at								Hs.96885								
235344_at	BG288054	235344_at								Hs.355658								
235345_at	BE938733	235345_at								Hs.163622								
235346_at	BF033615	235346_at								Hs.7549			Q9DB70					
235347_at	BF435591	235347_at								Hs.55336								
235348_at	AA404347	235348_at								Hs.97852								
235349_at	AI261321	235349_at			21389491		NM_144713			Hs.9905	151393	IPR000886	Q8N657					
235350_at	AI935586	235350_at								Hs.142869								
235351_at	BF966240	235351_at								Hs.126639								
235352_at	AI270356	235352_at								Hs.13500								
235353_at	AI887866	1458275_at	ENSG00000091490							Hs.49500	23231		Q96G59					
235354_s_at	BG398744	235354_s_at	ENSG00000174891	IPB000492	13937769		NM_016625			Hs.191381	51319	IPR001993	Q9NZE5					
235355_at	AL037998	235355_at								Hs.122593								
235356_at	AW297204	235356_at								Hs.125811			Q8NBF2					
235357_at	BF515766	C78788_rc_at	ENSG00000011332		20072229		NM_012074		601672	Hs.192922	8110	IPR000822	Q8TAP7					
235358_at	AW961205	235358_at								Hs.157101								
235359_at	AA534416	235359_at								Hs.162185								
235360_at	AW967747	235360_at	ENSG00000100804	IPB000426	6755204	d1pmab_	NM_002797	proteasome	600306	Hs.261927	5693	IPR001353	P28074		3.4.25.1			
235361_at	AW842975	235361_at								Hs.183070								
235362_at	AW614589	235362_at								Hs.297988								
235363_at	BF108778	235363_at								Hs.28360								
235364_at	BE674218	235364_at								Hs.420569								
235365_at	AA744520	235365_at								Hs.87734								
235366_at	BF970692	235366_at	ENSG00000168863	IPB001275	7512591		NM_015394	zf-C2H2	194538	Hs.104115	7556	IPR001909	Q8TC91					
235367_at	BF109970	235367_at	ENSG00000138347	PR01536	21739790	d1cs6a1	NM_032578	ig		Hs.55205	84665	IPR003006	Q96KF5					
235368_at	AI123555	235368_at								Hs.293821								
235369_at	BF435952	235369_at								Hs.82098	122525		Q8N0U0					
235370_at	AW073990	Msa.20823.0_s_at	ENSG00000100259	IPB000859	24041014	d1sppa_	NM_153379	kringle		Hs.62654	83999	IPR002889	Q96MU8					
235371_at	AI452595	235371_at								Hs.97600								
235372_at	AW575245	235372_at	ENSG00000132185		18056675	d1f2qa1	NM_032738	ig	606891	Hs.266331	84824	IPR003006	Q96PJ2					
235373_at	AI743489	235373_at								Hs.322679								
235374_at	AW952547	235374_at								Hs.194603								
235375_x_at	BF530849	235375_x_at																
235376_at	BF125564	235376_at								Hs.110059			Q8WUD5					
235377_at	AI242549	235377_at	ENSG00000146147		20070374		NM_138569			Hs.350860	90523		Q96NF7					
235378_at	AI082216	235378_at			22748943		NM_152445			Hs.135260	145483		Q96MY7					
235379_at	AV723880	235379_at								Hs.356235								
235380_at	AA768919	235380_at								Hs.361171								
235381_at	BF033855	235381_at								Hs.118726								
235382_at	AI246369	235382_at								Hs.98288			Q8NBZ2					
235383_at	AA552060	235383_at								Hs.399868			MY7A_HUMAN					
235384_at	AW963217	235384_at								Hs.203961								
235385_at	AI935334	235385_at								Hs.107369								
235386_at	AW162768	235386_at								Hs.22620								
235387_at	AA740875	235387_at								Hs.44307								
235388_at	BG538482	235388_at								Hs.125294	29962		Q8NAR9					
235389_at	BG168139	235389_at								Hs.87113								
235390_at	AA398321	235390_at								Hs.356259			Q8N9Q2					
235391_at	AW960748	235391_at			21687173		NM_145269			Hs.403869	137392		Q8N8R1					
235392_at	BG403162	235392_at								Hs.405816								
235393_at	BG389831	235393_at								Hs.31293								
235394_at	AW614597	235394_at								Hs.432571								
235395_at	AV686464	235395_at								Hs.330767								
235396_at	R24779	235396_at								Hs.405329								
235397_at	AA020789	235397_at								Hs.50755			Q8NAI8					
235398_at	BF109670	235398_at								Hs.22488								
235399_at	AA682499	235399_at			21687235		NM_145275			Hs.298079	147700		Q8NAL1					
235400_at	AL560266	235400_at	ENSG00000132185		18056675	d1f2qa1	NM_032738	ig	606891	Hs.266331	84824	IPR003599	Q96PJ2					
235401_s_at	AL560266	235401_s_at	ENSG00000132185		18056675	d1f2qa1	NM_032738	ig	606891	Hs.266331	84824	IPR003599	Q9BR57					
235402_at	AI866146	235402_at			21955166		NM_145017			Hs.291902	220004		Q96M77					
235403_at	AI827993	235403_at								Hs.339334								
235404_at	BF994345	235404_at								Hs.12702			Q8N421					
235405_at	N79662	235405_at	ENSG00000170899	PR01266	4504173	d1f3aa1	NM_001512	GST_N	605450	Hs.169907	2941	IPR004046	O15217	MAP00480	4.5.1.3			
235406_x_at	BF512190	235406_x_at								Hs.180662								
235407_at	BG435723	235407_at								Hs.119171								
235408_x_at	AW058673	235408_x_at								Hs.184987								
235409_at	AU149225	235409_at								Hs.194324	84130	IPR001699	Q9QXJ5					
235410_at	BG034966	235410_at			21752990	d1fcha_	NM_153240	TPR		Hs.432358	200803	IPR001440	Q96NK2					
235411_at	BE883300	235411_at	ENSG00000137338	IPB003309	20809405		NM_032507	SCAN		Hs.144527	84547	IPR003309	Q96JS3					
235412_at	AI040887	1449066_a_at		PR00499	4505573	d1lcka1	NM_145735	SH3	605477	Hs.172813	8874	IPR001849	Q14155					
235413_at	AW191608	1423554_at	ENSG00000115486		586241		NM_000821		137167	Hs.77719	2677	IPR001870	Q96FS0					
235414_at	BF432571	235414_at			23097321		NM_152604	zf-C2H2		Hs.175603	163087		ZF14_MOUSE					
235415_at	BE781857	235415_at								Hs.405848								
235416_at	AA928085	235416_at								Hs.123459								
235417_at	BF689253	235417_at			24432052	d1enwa_	NM_144569			Hs.62604	90853		Q96LN6					
235418_at	H04799	235418_at								Hs.12397								
235419_at	AW612461	235419_at								Hs.404002								
235420_at	W63783	235420_at								Hs.424283								
235421_at	AV713062	235421_at								Hs.351250								
235422_at	AA977218	235422_at	ENSG00000171634	IPB000135	4758336		NM_004459	PHD	601819	Hs.99872	2186	IPR004022	Q9UIG2					
235423_at	AI274840	235423_at								Hs.293687			Q9H389					
235424_at	N66727	235424_at								Hs.10957								
235425_at	AW965339	110419_at			23986276		NM_152524			Hs.44269	151246		Q96LQ3					
235426_at	AW293951	aa250357_at		IPB003198	4503933	d1jdw__	NM_001482	Amidinotransf	602360	Hs.75335	2628	IPR003198	P50440		3.5.3.18			
235427_at	AA418074	235427_at								Hs.110286								
235428_at	H78106	235428_at								Hs.396633								
235429_at	AW965494	160554_at	ENSG00000104408		4503521		NM_001568	PCI	602210	Hs.106673	3646	IPR000717	Q64252					
235430_at	AA158537	235430_at								Hs.423342								
235431_s_at	AI251283	235431_s_at			21450834		NM_145065			Hs.169119	246330		Q9GZY5					
235432_at	BE865779	235432_at			21752990	d1fcha_	NM_153240	TPR		Hs.432358	200803	IPR001440	Q96AN9					
235433_at	BG290639	235433_at								Hs.406206								
235434_at	AI984541	Msa.25013.0_s_at	ENSG00000100152	IPB003015	5578715	d1am9a_	NM_004599	HLH	600481	Hs.108689	6721	IPR001092	Q8NCY3					
235435_at	BF433048	235435_at			6841286		NM_145264			Hs.12622	132948		Q9P064					
235436_at	BE503800	235436_at								Hs.133082								
235437_at	AW207692	235437_at								Hs.398136								
235438_at	AW162011	235438_at								Hs.406063								
235439_at	AL536268	235439_at								Hs.148014								
235440_at	BE780878	235440_at								Hs.356030	144108		Q8N417					
235441_at	BF217471	M55075_at	ENSG00000138031	IPB001054	4757724	d1azsa_	NM_004036	guanylate_cyc	600291	Hs.8402	109	IPR001054	Q8NBM1	MAP00230	4.6.1.1			
235442_at	BF974463	d18428_rc_at	ENSG00000018610		11545813		NM_022101			Hs.248572	63932		Q9H5V9					
235443_at	BG284827	235443_at								Hs.193632								
235444_at	AI417897	235444_at								Hs.235860								
235445_at	BF965166	235445_at								Hs.222886								
235446_at	AW856618	235446_at								Hs.293702								
235447_at	BF982548	235447_at	ENSG00000165832	IPB002501	21312414	d1k8wa1	NM_139169	TruB_N		Hs.21187	142940	IPR004510	Q8WWH5					
235448_at	AI299828	235448_at								Hs.406120								
235449_at	BG029705	235449_at	ENSG00000148356	IPB000074	21749999		NM_138361	SAM		Hs.323813	90678	IPR001660	Q96MZ7					
235450_at	BF571480	235450_at								Hs.132809								
235451_at	AI439752	235451_at								Hs.167700			Q07826					
235452_at	AV708945	235452_at								Hs.129188								
235453_at	BE141355	235453_at			21450775		NM_145034			Hs.196550	163590		Q8NFQ8					
235454_at	AI436561	235454_at								Hs.165703								
235455_at	BE672097	235455_at								Hs.126825			Q8N9P9					
235456_at	AI810266	235456_at								Hs.130853								
235457_at	AI769569	235457_at								Hs.112472								
235458_at	AW025572	235458_at	ENSG00000135077		21314758		NM_032782		606652	Hs.155111	84868	IPR003599	Q96K94					
235459_at	BF114745	235459_at								Hs.429805								
235460_at	AW149670	235460_at		IPB001683	20140142	d1gd5a_	NM_024798	PX		Hs.157607	79856	IPR001683	Q8WUS9					
235461_at	BG250414	235461_at								Hs.367639	54790		Q96JX5					
235462_at	BE646645	235462_at								Hs.44833								
235463_s_at	AI081356	235463_s_at								Hs.387400			Q8N617					
235464_at	AA010757	235464_at								Hs.104216			Q9H397					
235465_at	N66614	235465_at			22749405		NM_152704			Hs.100343	219287		Q8N785					
235466_s_at	AI677948	235466_s_at								Hs.101490								
235467_s_at	BF969982	235467_s_at	ENSG00000116396	PR01333	3023493	d3kvt__	NM_153763	ion_trans	176265	Hs.124212	3749	IPR005405	Q03721					
235468_at	AA531287	235468_at								Hs.11924								
235469_at	AV744101	235469_at								Hs.119172								
235470_at	AI766279	235470_at								Hs.158669								
235471_at	BE858464	235471_at								Hs.425180								
235472_at	AI147738	235472_at	ENSG00000172728	IPB001503	24370973		NM_032664	Glyco_transf_10		Hs.326744	84750	IPR001503	Q9BSR3		2.4.1.65			
235473_at	BF434383	235473_at								Hs.156061								
235474_at	AI241810	235474_at								Hs.131365								
235475_at	AI580135	235475_at								Hs.122806								
235476_at	AW182459	235476_at								Hs.125759			Q9CUD5					
235477_at	BE465227	235477_at								Hs.122020								
235478_at	T79927	235478_at	ENSG00000152457		21427586		NM_022487		605988	Hs.28891	64421	IPR001279	Q8N132					
235479_at	AI948598	235479_at								Hs.44833			Q9CTL5					
235480_at	AA063633	235480_at								Hs.190148								
235481_at	AA600866	235481_at								Hs.151458								
235482_at	BE886868	235482_at								Hs.432884			Q9BYA5					
235483_at	AA858058	235483_at								Hs.180711								
235484_at	BE892889	235484_at		IPB001422	5802964		NM_012234	zf-RanBP	607535	Hs.7910	23429	IPR001876	Q9UMW4					
235485_at	BF115809	235485_at		IPB000009	9506637		NM_019045	WD40		Hs.98510	54521	IPR001680	Q8NAU8					
235486_at	AI879661	235486_at			9929941		NM_152314			Hs.22270	120196		Q8TAY4					
235487_at	AI962487	235487_at								Hs.31447								
235488_at	BE467359	235488_at								Hs.65379								
235489_at	AI583530	Msa.4101.0_s_at	ENSG00000126785	IPB002041	16903164	d2ngra_	NM_020663	ras		Hs.243010	57381	IPR005225	Q9H4E5					
235490_at	AV743951	235490_at			14150157		NM_032354			Hs.25092	84314		Q9BRF7					
235491_at	BF056208	rc_AI009192_at	ENSG00000154575	IPB000822	22859187		NM_023929	zf-C2H2		Hs.237146	65986	IPR000822	Q9WTY8					
235492_at	AI888256	235492_at			22054250		NM_152553			Hs.307526	154214		Q8TC41					
235493_at	AI927329	235493_at								Hs.292471								
235494_at	AA702209	235494_at								Hs.376557								
235495_at	BE731290	235495_at	ENSG00000142039	IPB001580	21311899		NM_052848			Hs.334775	90324		Q922V3					
235496_at	AI521254	235496_at								Hs.208081								
235497_at	AL079648	235497_at								Hs.14485			Q96BN7					
235498_at	AI269596	235498_at			21687084		NM_145258	LRR		Hs.34596	127255	IPR001611	Q8WUE0					
235499_at	AI660326	235499_at								Hs.58582								
235500_at	AA889628	235500_at								Hs.35125								
235501_at	AW961576	235501_at								Hs.60178								
235502_at	BF030448	rc_AI012595_at	ENSG00000113575	IPB000934	8394018	d1jk7a_	NM_002715	Metallophos	176915	Hs.91773	5515	IPR006185	AAH19275		3.6.1.41			
235503_at	BF589787	235503_at	ENSG00000164122	IPB000906	18254476	d1awcb_	NM_080874	ank		Hs.352364	140458	IPR002110	Q8WWX0					
235504_at	BE786990	235504_at								Hs.396823								
235505_s_at	AA724665	235505_s_at								Hs.40966								
235506_at	AI076788	235506_at								Hs.50439								
235507_at	AA461195	235507_at			24308386	d1jg1a_	NM_052937	PCMT		Hs.60293	115294	IPR000682	Q9HAZ8		2.1.1.77			
235508_at	AW291023	235508_at								Hs.355871								
235509_at	AV662196	235509_at			22048748		NM_152416			Hs.98471	137682		Q8N6U6					
235510_at	AA551913	1451500_at			22053412		NM_031941			Hs.7945	83878		Q9BYI8					
235511_at	BE144058	235511_at								Hs.321056								
235512_at	AW976363	235512_at								Hs.131878								
235513_at	AW131450	235513_at								Hs.121070								
235514_at	AI739528	95740_at			22758146		NM_152792			Hs.28345	151516	IPR001995	Q8N5P2					
235515_at	AA827649	1427176_s_at			23397510		NM_153233			Hs.105317	163183		Q8N205					
235516_at	AI038867	aa711880_at			9837234		NM_153825			Hs.161436	51091	IPR002016	Q9Y353					
235517_at	AA844539	AA184950_s_at			21758780		NM_145048			Hs.97415	133015		Q8TBA8					
235518_at	AI741439	235518_at								Hs.144465								
235519_at	AW007929	235519_at								Hs.131862								
235520_at	AA805654	235520_at			7019973		NM_017666	zf-C2H2		Hs.308418	55609	IPR000822	Q9BYA5					
235521_at	AW137982	235521_at		IPB003106	24497515	d1ftz__	NM_153632	homeobox	142954	Hs.248074	3200	IPR001356	O43365					
235522_at	AA262688	235522_at								Hs.13231								
235523_at	AI275422	235523_at	ENSG00000130731	IPB000682	14336706		NM_032366			Hs.239500	84326		Q96MD6					
235524_at	BF062295	235524_at								Hs.193237								
235525_at	BF513712	235525_at								Hs.191548								
235526_at	BE748802	235526_at								Hs.221461								
235527_at	U55983	235527_at								Hs.290270								
235528_at	AW967092	235528_at	ENSG00000135842	IPB002151	16757970		NM_052966			Hs.48778	116496	IPR001623	Q9BZQ8					
235529_x_at	BF437747	1444064_at	ENSG00000101347		7661594		NM_015474	SAM	606754	Hs.23889	25939	IPR003607	Q8N491		3.1.5.1			
235530_at	AI986112	235530_at								Hs.97259								
235531_at	AA928257	235531_at								Hs.38312								
235532_at	AI631888	235532_at								Hs.61272								
235533_at	AW021673	235533_at								Hs.66104								
235534_at	AI624156	235534_at								Hs.153944								
235535_x_at	AI369073	235535_x_at								Hs.330466								
235536_at	AI640483	235536_at								Hs.337727								
235537_at	AI377685	235537_at								Hs.170291								
235538_at	T96989	235538_at								Hs.17962								
235539_at	AW964431	aa571790_s_at	ENSG00000137497	IPB001322	5453820		NM_006185		164009	Hs.301512	4926		Q9BTE9				Q27480	
235540_at	AW296153	235540_at								Hs.432427								
235541_at	AL042052	235541_at	ENSG00000001497	IPB000637	13654270		NM_031206	Las1		Hs.321618	81887		Q9H9V5					
235542_at	BF675754	235542_at								Hs.17803	200424		O43151					
235543_at	AI928184	235543_at								Hs.122011								
235544_x_at	AI888199	235544_x_at								Hs.154001			Q8N0U1					
235545_at	AI810054	235545_at	ENSG00000024526	IPB000198	8923328		NM_017779			Hs.133260	55635	IPR000591	Q9NXA5					
235546_at	AI739289	235546_at																
235547_at	BG548427	235547_at								Hs.154172								
235548_at	BG326592	235548_at			23503291		NM_153360			Hs.119286	164284		Q8NCL9					
235549_at	AL575512	235549_at								Hs.294092			Q8N3R7					
235550_at	AV751613	1445442_at	ENSG00000164114		13376226		NM_024826			Hs.61271	79884		Q9H781					
235551_at	AA555280	235551_at								Hs.282961			Q9H965					
235552_at	AA354181	235552_at			20536396		NM_020961			Hs.127685	57721		Q969V2					
235553_at	BG429255	235553_at								Hs.42376								
235554_x_at	BE048198	235554_x_at			21758780		NM_145048			Hs.97415	133015		Q8TBA8					
235555_at	AW628665	235555_at								Hs.48729								
235556_at	AL037805	235556_at								Hs.55168								
235557_at	AW082827	235557_at	ENSG00000115042	IPB002529	7705608	d1i7oa1	NM_016044	FAA_hydrolase		Hs.380401	51011	IPR002529	Q9Y3B0		4.1.1.77			
235558_at	AW838569	235558_at			8922126		NM_017577			Hs.24583	54762		Q9UF46					
235559_at	AI539542	235559_at								Hs.143810								
235560_at	AI564075	235560_at								Hs.157234								
235561_at	T16544	235561_at								Hs.291005								
235562_at	AI493909	235562_at								Hs.6131								
235563_at	BG250868	235563_at								Hs.420189								
235564_at	BF107006	235564_at								Hs.263339			Q9UI50					
235565_at	N30616	235565_at								Hs.31743								
235566_at	AW591660	235566_at								Hs.9856								
